Identificacion;Sucursal;Ciudad;Tipo de cliente;Genero;Categoria;Precio unitario;Cantidad;Impuesto 5%;Total;Fecha;Hora;Metodo de pago;cogs;Porcentaje de margen bruto;Ingresos brutos;Clasificacion
449-27-2918;B;Mandalay;Miembro;Femenino;Deportes y viajes;39.12;1;1.96;41.08;26/03/2019;11:02;Tarjeta de crédito;39.12;4.77;1.96;9.6
891-01-7034;B;Mandalay;Normal;Femenino;Accesorios electrónicos;74.71;6;22.41;470.67;01/01/2019;19:07;Dinero en efectivo;448.26;4.76;22.41;6.7
744-09-5786;B;Mandalay;Normal;Masculino;Accesorios electrónicos;22.01;6;6.6;138.66;02/01/2019;18:50;Dinero en efectivo;132.06;4.76;6.6;7.6
727-17-0390;A;Yangon;Normal;Femenino;Comida y bebidas;63.61;5;15.9;333.95;16/03/2019;12:43;Billetera electrónica;318.05;4.76;15.9;4.8
568-88-3448;A;Yangon;Normal;Masculino;Salud y belleza;25.0;1;1.25;26.25;03/03/2019;15:09;Billetera electrónica;25.0;4.76;1.25;5.5
187-83-5490;A;Yangon;Miembro;Masculino;Accesorios electrónicos;20.77;4;4.15;87.23;31/01/2019;13:47;Dinero en efectivo;83.08;4.76;4.15;4.7
767-54-1907;B;Mandalay;Miembro;Femenino;Accesorios de moda;29.56;5;7.39;155.19;13/02/2019;16:59;Dinero en efectivo;147.8;4.76;7.39;6.9
710-46-4433;B;Mandalay;Miembro;Femenino;Comida y bebidas;77.4;9;34.83;731.43;15/02/2019;14:15;Tarjeta de crédito;696.6;4.76;34.83;4.5
533-33-5337;B;Mandalay;Normal;Masculino;Accesorios electrónicos;79.39;10;39.7;833.6;07/02/2019;20:24;Dinero en efectivo;793.9;4.76;39.7;6.2
325-90-8763;C;Naypyitaw;Miembro;Femenino;Accesorios electrónicos;46.57;10;23.28;488.98;27/01/2019;13:58;Dinero en efectivo;465.7;4.76;23.28;7.6
729-46-7422;C;Naypyitaw;Normal;Masculino;Comida y bebidas;35.89;1;1.79;37.68;23/02/2019;16:52;Tarjeta de crédito;35.89;4.75;1.79;7.9
639-76-1242;C;Naypyitaw;Normal;Masculino;Comida y bebidas;40.52;5;10.13;212.73;03/02/2019;15:19;Dinero en efectivo;202.6;4.76;10.13;4.5
234-03-4040;B;Mandalay;Miembro;Femenino;Comida y bebidas;73.05;10;36.52;767.02;03/03/2019;12:25;Tarjeta de crédito;730.5;4.76;36.52;8.7
326-71-2155;C;Naypyitaw;Normal;Femenino;Deportes y viajes;73.95;4;14.79;310.59;03/02/2019;10:02;Dinero en efectivo;295.8;4.76;14.79;6.1
320-32-8842;C;Naypyitaw;Miembro;Femenino;Comida y bebidas;22.62;1;1.13;23.75;17/03/2019;18:58;Dinero en efectivo;22.62;4.76;1.13;6.4
470-32-9057;A;Yangon;Miembro;Masculino;Comida y bebidas;51.34;5;12.84;269.54;28/03/2019;15:31;Tarjeta de crédito;256.7;4.76;12.84;9.1
878-30-2331;C;Naypyitaw;Miembro;Femenino;Deportes y viajes;54.55;10;27.28;572.78;02/03/2019;11:22;Tarjeta de crédito;545.5;4.76;27.28;7.1
440-59-5691;C;Naypyitaw;Miembro;Femenino;Salud y belleza;37.15;7;13.0;273.05;08/02/2019;13:12;Tarjeta de crédito;260.05;4.76;13.0;7.7
554-53-3790;B;Mandalay;Normal;Masculino;Deportes y viajes;37.02;6;11.11;233.23;22/03/2019;18:33;Dinero en efectivo;222.12;4.76;11.11;4.5
746-19-0921;C;Naypyitaw;Normal;Masculino;Comida y bebidas;21.58;1;1.08;22.66;09/02/2019;10:02;Billetera electrónica;21.58;4.77;1.08;7.2
233-34-0817;C;Naypyitaw;Miembro;Femenino;Accesorios electrónicos;98.84;1;4.94;103.78;15/02/2019;11:21;Dinero en efectivo;98.84;4.76;4.94;8.4
767-05-1286;C;Naypyitaw;Miembro;Femenino;Hogar y estilo de vida;83.77;6;25.13;527.75;23/01/2019;12:10;Billetera electrónica;502.62;4.76;25.13;5.4
340-21-9136;A;Yangon;Miembro;Femenino;Deportes y viajes;40.05;4;8.01;168.21;25/01/2019;11:40;Dinero en efectivo;160.2;4.76;8.01;9.7
405-31-3305;A;Yangon;Miembro;Masculino;Accesorios de moda;43.13;10;21.56;452.86;02/02/2019;18:31;Tarjeta de crédito;431.3;4.76;21.56;5.5
731-59-7531;B;Mandalay;Miembro;Masculino;Salud y belleza;72.57;8;29.03;609.59;30/03/2019;17:58;Dinero en efectivo;580.56;4.76;29.03;4.6
676-39-6028;A;Yangon;Miembro;Femenino;Accesorios electrónicos;64.44;5;16.11;338.31;30/03/2019;17:04;Dinero en efectivo;322.2;4.76;16.11;6.6
502-05-1910;A;Yangon;Normal;Masculino;Salud y belleza;65.18;3;9.78;205.32;25/02/2019;20:35;Tarjeta de crédito;195.54;4.76;9.78;6.3
485-30-8700;A;Yangon;Normal;Femenino;Deportes y viajes;33.26;5;8.32;174.62;18/03/2019;16:10;Tarjeta de crédito;166.3;4.76;8.32;4.2
598-47-9715;C;Naypyitaw;Normal;Masculino;Accesorios electrónicos;84.07;4;16.81;353.09;07/03/2019;16:54;Billetera electrónica;336.28;4.76;16.81;4.4
701-69-8742;B;Mandalay;Normal;Masculino;Deportes y viajes;34.37;10;17.18;360.88;16/03/2019;10:11;Billetera electrónica;343.7;4.76;17.18;6.7
575-67-1508;A;Yangon;Normal;Masculino;Accesorios electrónicos;38.6;1;1.93;40.53;29/01/2019;11:26;Billetera electrónica;38.6;4.76;1.93;6.7
541-08-3113;C;Naypyitaw;Normal;Masculino;Comida y bebidas;65.97;8;26.39;554.15;02/02/2019;20:29;Dinero en efectivo;527.76;4.76;26.39;8.4
246-11-3901;C;Naypyitaw;Normal;Femenino;Accesorios electrónicos;32.8;10;16.4;344.4;15/02/2019;12:12;Dinero en efectivo;328.0;4.76;16.4;6.2
674-15-9296;A;Yangon;Normal;Masculino;Deportes y viajes;37.14;5;9.28;194.98;08/01/2019;13:05;Billetera electrónica;185.7;4.76;9.28;5.0
305-18-3552;B;Mandalay;Miembro;Masculino;Hogar y estilo de vida;60.38;10;30.19;633.99;12/02/2019;16:19;Dinero en efectivo;603.8;4.76;30.19;6.0
493-65-6248;C;Naypyitaw;Miembro;Femenino;Deportes y viajes;36.98;10;18.49;388.29;01/01/2019;19:48;Tarjeta de crédito;369.8;4.76;18.49;7.0
438-01-4015;B;Mandalay;Miembro;Femenino;Deportes y viajes;49.49;4;9.9;207.86;21/03/2019;15:25;Billetera electrónica;197.96;4.76;9.9;6.6
709-58-4068;B;Mandalay;Normal;Femenino;Accesorios de moda;41.09;10;20.54;431.44;28/02/2019;14:42;Dinero en efectivo;410.9;4.76;20.54;7.3
795-49-7276;A;Yangon;Normal;Masculino;Accesorios de moda;37.15;4;7.43;156.03;23/03/2019;18:59;Billetera electrónica;148.6;4.76;7.43;8.3
556-72-8512;C;Naypyitaw;Normal;Masculino;Hogar y estilo de vida;22.96;1;1.15;24.11;30/01/2019;20:47;Dinero en efectivo;22.96;4.77;1.15;4.3
627-95-3243;B;Mandalay;Miembro;Femenino;Hogar y estilo de vida;77.68;9;34.96;734.08;04/02/2019;13:21;Billetera electrónica;699.12;4.76;34.96;9.8
686-41-0932;B;Mandalay;Normal;Femenino;Accesorios de moda;34.7;2;3.47;72.87;13/03/2019;19:48;Billetera electrónica;69.4;4.76;3.47;8.2
510-09-5628;A;Yangon;Miembro;Femenino;Accesorios de moda;19.66;10;9.83;206.43;15/03/2019;18:20;Tarjeta de crédito;196.6;4.76;9.83;7.2
608-04-3797;B;Mandalay;Miembro;Femenino;Salud y belleza;25.32;8;10.13;212.69;05/03/2019;20:24;Billetera electrónica;202.56;4.76;10.13;8.7
148-82-2527;C;Naypyitaw;Miembro;Femenino;Hogar y estilo de vida;12.12;10;6.06;127.26;05/03/2019;13:44;Tarjeta de crédito;121.2;4.76;6.06;8.4
437-53-3084;B;Mandalay;Normal;Masculino;Accesorios de moda;99.89;2;9.99;209.77;26/02/2019;11:48;Billetera electrónica;199.78;4.76;9.99;7.1
632-32-4574;B;Mandalay;Normal;Masculino;Deportes y viajes;75.92;8;30.37;637.73;20/03/2019;14:14;Dinero en efectivo;607.36;4.76;30.37;5.5
556-97-7101;C;Naypyitaw;Normal;Femenino;Accesorios electrónicos;63.22;2;6.32;132.76;01/01/2019;15:51;Dinero en efectivo;126.44;4.76;6.32;8.5
862-59-8517;C;Naypyitaw;Normal;Femenino;Comida y bebidas;90.24;6;27.07;568.51;27/01/2019;11:17;Dinero en efectivo;541.44;4.76;27.07;6.2
401-18-8016;B;Mandalay;Miembro;Femenino;Deportes y viajes;98.13;1;4.91;103.04;21/01/2019;17:36;Dinero en efectivo;98.13;4.77;4.91;8.9
420-18-8989;A;Yangon;Miembro;Femenino;Deportes y viajes;51.52;8;20.61;432.77;02/02/2019;15:47;Dinero en efectivo;412.16;4.76;20.61;9.6
277-63-2961;B;Mandalay;Miembro;Masculino;Deportes y viajes;73.97;1;3.7;77.67;03/02/2019;15:53;Tarjeta de crédito;73.97;4.76;3.7;5.4
573-98-8548;C;Naypyitaw;Miembro;Femenino;Accesorios de moda;31.9;1;1.6;33.5;05/01/2019;12:40;Billetera electrónica;31.9;4.78;1.6;9.1
620-02-2046;C;Naypyitaw;Normal;Masculino;Hogar y estilo de vida;69.4;2;6.94;145.74;27/01/2019;19:48;Billetera electrónica;138.8;4.76;6.94;9.0
282-35-2475;B;Mandalay;Normal;Femenino;Deportes y viajes;93.31;2;9.33;195.95;25/03/2019;17:53;Dinero en efectivo;186.62;4.76;9.33;6.3
511-54-3087;B;Mandalay;Normal;Masculino;Deportes y viajes;88.45;1;4.42;92.87;25/02/2019;16:36;Tarjeta de crédito;88.45;4.76;4.42;9.5
726-29-6793;A;Yangon;Miembro;Masculino;Accesorios electrónicos;24.18;8;9.67;203.11;28/01/2019;20:54;Billetera electrónica;193.44;4.76;9.67;9.8
387-49-4215;B;Mandalay;Miembro;Femenino;Deportes y viajes;48.5;3;7.28;152.78;08/01/2019;12:50;Dinero en efectivo;145.5;4.77;7.28;6.7
862-17-9201;B;Mandalay;Normal;Femenino;Comida y bebidas;84.05;6;25.22;529.52;29/01/2019;10:48;Tarjeta de crédito;504.3;4.76;25.22;7.7
291-21-5991;B;Mandalay;Miembro;Masculino;Salud y belleza;61.29;5;15.32;321.77;29/03/2019;14:28;Dinero en efectivo;306.45;4.76;15.32;7.0
602-80-9671;C;Naypyitaw;Miembro;Femenino;Hogar y estilo de vida;15.95;6;4.78;100.48;09/02/2019;17:15;Tarjeta de crédito;95.7;4.76;4.78;5.1
347-72-6115;B;Mandalay;Miembro;Femenino;Deportes y viajes;90.74;7;31.76;666.94;16/01/2019;18:03;Tarjeta de crédito;635.18;4.76;31.76;6.2
209-61-0206;A;Yangon;Normal;Femenino;Hogar y estilo de vida;42.91;5;10.73;225.28;05/01/2019;17:29;Billetera electrónica;214.55;4.76;10.73;6.1
595-27-4851;A;Yangon;Normal;Femenino;Accesorios de moda;54.28;7;19.0;398.96;27/01/2019;18:05;Billetera electrónica;379.96;4.76;19.0;9.3
189-52-0236;A;Yangon;Normal;Masculino;Accesorios electrónicos;99.55;7;34.84;731.69;14/03/2019;12:07;Dinero en efectivo;696.85;4.76;34.84;7.6
503-07-0930;C;Naypyitaw;Miembro;Masculino;Deportes y viajes;58.39;7;20.44;429.17;23/02/2019;19:49;Tarjeta de crédito;408.73;4.76;20.44;8.2
413-20-6708;C;Naypyitaw;Miembro;Femenino;Accesorios de moda;51.47;1;2.57;54.04;18/03/2019;15:52;Billetera electrónica;51.47;4.76;2.57;8.5
425-85-2085;B;Mandalay;Miembro;Masculino;Salud y belleza;54.86;5;13.72;288.02;29/03/2019;16:48;Billetera electrónica;274.3;4.76;13.72;9.8
521-18-7827;C;Naypyitaw;Miembro;Masculino;Hogar y estilo de vida;39.39;5;9.85;206.8;22/01/2019;20:46;Tarjeta de crédito;196.95;4.76;9.85;8.7
220-28-1851;A;Yangon;Normal;Masculino;Hogar y estilo de vida;34.73;2;3.47;72.93;01/03/2019;18:14;Billetera electrónica;69.46;4.76;3.47;9.7
600-38-9738;C;Naypyitaw;Miembro;Masculino;Deportes y viajes;71.92;5;17.98;377.58;17/01/2019;15:05;Tarjeta de crédito;359.6;4.76;17.98;4.3
734-91-1155;B;Mandalay;Normal;Femenino;Accesorios electrónicos;45.71;3;6.86;143.99;26/03/2019;10:34;Tarjeta de crédito;137.13;4.76;6.86;7.7
451-28-5717;C;Naypyitaw;Miembro;Femenino;Hogar y estilo de vida;83.17;6;24.95;523.97;20/03/2019;11:23;Dinero en efectivo;499.02;4.76;24.95;7.3
609-81-8548;A;Yangon;Miembro;Femenino;Hogar y estilo de vida;37.44;6;11.23;235.87;06/02/2019;13:55;Tarjeta de crédito;224.64;4.76;11.23;5.9
133-14-7229;C;Naypyitaw;Normal;Masculino;Salud y belleza;62.87;2;6.29;132.03;01/01/2019;11:43;Dinero en efectivo;125.74;4.76;6.29;5.0
534-01-4457;A;Yangon;Normal;Masculino;Comida y bebidas;81.71;6;24.51;514.77;27/01/2019;14:36;Tarjeta de crédito;490.26;4.76;24.51;8.0
719-89-8991;A;Yangon;Miembro;Femenino;Deportes y viajes;91.41;5;22.85;479.9;25/02/2019;16:03;Billetera electrónica;457.05;4.76;22.85;7.1
286-62-6248;B;Mandalay;Normal;Masculino;Accesorios de moda;39.21;4;7.84;164.68;16/01/2019;20:03;Tarjeta de crédito;156.84;4.76;7.84;9.0
339-38-9982;B;Mandalay;Miembro;Masculino;Accesorios de moda;59.86;2;5.99;125.71;13/01/2019;14:55;Billetera electrónica;119.72;4.76;5.99;6.7
827-44-5872;B;Mandalay;Miembro;Femenino;Comida y bebidas;54.36;10;27.18;570.78;07/02/2019;11:28;Tarjeta de crédito;543.6;4.76;27.18;6.1
827-77-7633;A;Yangon;Normal;Masculino;Deportes y viajes;98.09;9;44.14;926.95;17/02/2019;19:41;Dinero en efectivo;882.81;4.76;44.14;9.3
287-83-1405;A;Yangon;Normal;Masculino;Salud y belleza;25.43;6;7.63;160.21;12/02/2019;19:01;Billetera electrónica;152.58;4.76;7.63;7.0
435-13-4908;A;Yangon;Miembro;Masculino;Accesorios de moda;86.68;8;34.67;728.11;24/01/2019;18:04;Tarjeta de crédito;693.44;4.76;34.67;7.2
857-67-9057;B;Mandalay;Normal;Masculino;Accesorios electrónicos;22.95;10;11.48;240.98;06/02/2019;19:20;Billetera electrónica;229.5;4.76;11.48;8.2
236-27-1144;C;Naypyitaw;Normal;Femenino;Comida y bebidas;16.31;9;7.34;154.13;26/03/2019;10:31;Billetera electrónica;146.79;4.76;7.34;8.4
892-05-6689;A;Yangon;Normal;Femenino;Hogar y estilo de vida;28.32;5;7.08;148.68;11/03/2019;13:28;Billetera electrónica;141.6;4.76;7.08;6.2
583-41-4548;C;Naypyitaw;Normal;Masculino;Hogar y estilo de vida;16.67;7;5.83;122.52;07/02/2019;11:36;Billetera electrónica;116.69;4.76;5.83;7.4
339-12-4827;B;Mandalay;Miembro;Femenino;Accesorios de moda;73.96;1;3.7;77.66;05/01/2019;11:32;Tarjeta de crédito;73.96;4.76;3.7;5.0
643-38-7867;A;Yangon;Normal;Masculino;Hogar y estilo de vida;97.94;1;4.9;102.84;07/03/2019;11:44;Billetera electrónica;97.94;4.76;4.9;6.9
308-81-0538;A;Yangon;Normal;Femenino;Accesorios de moda;73.05;4;14.61;306.81;25/02/2019;17:16;Tarjeta de crédito;292.2;4.76;14.61;4.9
358-88-9262;C;Naypyitaw;Miembro;Femenino;Comida y bebidas;87.48;6;26.24;551.12;01/02/2019;18:43;Billetera electrónica;524.88;4.76;26.24;5.1
460-35-4390;A;Yangon;Normal;Masculino;Hogar y estilo de vida;30.68;3;4.6;96.64;22/01/2019;11:00;Billetera electrónica;92.04;4.76;4.6;9.1
343-87-0864;C;Naypyitaw;Miembro;Masculino;Salud y belleza;75.88;1;3.79;79.67;03/01/2019;10:30;Tarjeta de crédito;75.88;4.76;3.79;7.1
173-50-1108;B;Mandalay;Miembro;Femenino;Deportes y viajes;20.18;4;4.04;84.76;13/02/2019;12:14;Tarjeta de crédito;80.72;4.77;4.04;5.0
243-47-2663;C;Naypyitaw;Miembro;Masculino;Accesorios electrónicos;18.77;6;5.63;118.25;28/01/2019;16:43;Tarjeta de crédito;112.62;4.76;5.63;5.5
841-18-8232;B;Mandalay;Normal;Femenino;Comida y bebidas;71.2;1;3.56;74.76;05/01/2019;20:40;Tarjeta de crédito;71.2;4.76;3.56;9.2
701-23-5550;B;Mandalay;Miembro;Masculino;Hogar y estilo de vida;38.81;4;7.76;163.0;19/03/2019;13:40;Billetera electrónica;155.24;4.76;7.76;4.9
647-50-1224;A;Yangon;Normal;Femenino;Accesorios de moda;29.42;10;14.71;308.91;12/01/2019;16:23;Billetera electrónica;294.2;4.76;14.71;8.9
541-48-8554;A;Yangon;Normal;Masculino;Deportes y viajes;60.95;9;27.43;575.98;07/01/2019;12:08;Tarjeta de crédito;548.55;4.76;27.43;6.0
539-21-7227;B;Mandalay;Normal;Femenino;Deportes y viajes;51.54;5;12.88;270.58;26/01/2019;17:45;Dinero en efectivo;257.7;4.76;12.88;4.2
213-32-1216;A;Yangon;Normal;Femenino;Accesorios electrónicos;66.06;6;19.82;416.18;23/01/2019;10:28;Dinero en efectivo;396.36;4.76;19.82;7.3
747-58-7183;B;Mandalay;Normal;Masculino;Accesorios de moda;57.27;3;8.59;180.4;09/02/2019;20:31;Billetera electrónica;171.81;4.76;8.59;6.5
582-52-8065;B;Mandalay;Normal;Femenino;Accesorios de moda;54.31;9;24.44;513.23;22/02/2019;10:49;Dinero en efectivo;488.79;4.76;24.44;8.9
210-57-1719;B;Mandalay;Normal;Femenino;Salud y belleza;58.24;9;26.21;550.37;05/02/2019;12:34;Dinero en efectivo;524.16;4.76;26.21;9.7
399-69-4630;C;Naypyitaw;Normal;Masculino;Accesorios electrónicos;22.21;6;6.66;139.92;07/03/2019;10:23;Tarjeta de crédito;133.26;4.76;6.66;8.6
134-75-2619;A;Yangon;Miembro;Masculino;Accesorios electrónicos;19.32;7;6.76;142.0;25/03/2019;18:51;Dinero en efectivo;135.24;4.76;6.76;6.9
356-44-8813;B;Mandalay;Normal;Masculino;Hogar y estilo de vida;37.48;3;5.62;118.06;20/01/2019;13:45;Tarjeta de crédito;112.44;4.76;5.62;7.7
198-66-9832;B;Mandalay;Miembro;Femenino;Accesorios de moda;72.04;2;7.2;151.28;04/02/2019;19:38;Dinero en efectivo;144.08;4.76;7.2;9.5
283-26-5248;C;Naypyitaw;Miembro;Femenino;Comida y bebidas;98.52;10;49.26;1034.46;30/01/2019;20:23;Billetera electrónica;985.2;4.76;49.26;4.5
712-39-0363;A;Yangon;Miembro;Masculino;Comida y bebidas;41.66;6;12.5;262.46;02/01/2019;15:24;Billetera electrónica;249.96;4.76;12.5;5.6
218-59-9410;A;Yangon;Miembro;Femenino;Hogar y estilo de vida;72.42;3;10.86;228.12;29/03/2019;16:54;Billetera electrónica;217.26;4.76;10.86;8.2
174-75-0888;B;Mandalay;Normal;Masculino;Accesorios electrónicos;21.58;9;9.71;203.93;14/03/2019;12:32;Dinero en efectivo;194.22;4.76;9.71;7.3
866-99-7614;C;Naypyitaw;Normal;Masculino;Comida y bebidas;89.2;10;44.6;936.6;11/02/2019;15:42;Tarjeta de crédito;892.0;4.76;44.6;4.4
134-54-4720;B;Mandalay;Normal;Femenino;Accesorios electrónicos;42.42;8;16.97;356.33;30/01/2019;13:58;Billetera electrónica;339.36;4.76;16.97;5.7
760-90-2357;A;Yangon;Miembro;Masculino;Accesorios electrónicos;74.51;6;22.35;469.41;20/03/2019;15:08;Billetera electrónica;447.06;4.76;22.35;5.0
514-37-2845;B;Mandalay;Normal;Masculino;Accesorios de moda;99.25;2;9.93;208.43;20/03/2019;13:02;Dinero en efectivo;198.5;4.76;9.93;9.0
698-98-5964;A;Yangon;Normal;Femenino;Comida y bebidas;81.21;10;40.6;852.7;17/01/2019;13:01;Tarjeta de crédito;812.1;4.76;40.6;6.3
718-57-9773;C;Naypyitaw;Normal;Femenino;Deportes y viajes;49.33;10;24.66;517.96;03/02/2019;16:40;Tarjeta de crédito;493.3;4.76;24.66;9.4
651-88-7328;A;Yangon;Normal;Femenino;Accesorios de moda;65.74;9;29.58;621.24;01/01/2019;13:55;Dinero en efectivo;591.66;4.76;29.58;7.7
241-11-2261;B;Mandalay;Normal;Femenino;Accesorios de moda;79.86;7;27.95;586.97;10/01/2019;10:33;Tarjeta de crédito;559.02;4.76;27.95;5.5
408-26-9866;C;Naypyitaw;Normal;Femenino;Deportes y viajes;73.98;7;25.89;543.75;02/03/2019;16:42;Billetera electrónica;517.86;4.76;25.89;4.1
834-83-1826;B;Mandalay;Miembro;Femenino;Hogar y estilo de vida;82.04;5;20.51;430.71;25/02/2019;17:16;Tarjeta de crédito;410.2;4.76;20.51;7.6
343-61-3544;B;Mandalay;Miembro;Masculino;Deportes y viajes;26.67;10;13.34;280.04;29/01/2019;11:48;Dinero en efectivo;266.7;4.76;13.34;8.6
239-48-4278;A;Yangon;Miembro;Masculino;Comida y bebidas;10.13;7;3.55;74.46;10/03/2019;19:35;Billetera electrónica;70.91;4.77;3.55;8.3
355-34-6244;B;Mandalay;Normal;Masculino;Comida y bebidas;72.39;2;7.24;152.02;13/01/2019;19:55;Tarjeta de crédito;144.78;4.76;7.24;8.1
550-84-8664;A;Yangon;Normal;Masculino;Deportes y viajes;85.91;5;21.48;451.03;22/03/2019;14:33;Tarjeta de crédito;429.55;4.76;21.48;8.6
339-96-8318;B;Mandalay;Miembro;Masculino;Accesorios de moda;81.31;7;28.46;597.63;01/03/2019;19:49;Billetera electrónica;569.17;4.76;28.46;6.3
458-61-0011;B;Mandalay;Normal;Masculino;Comida y bebidas;60.3;4;12.06;253.26;20/02/2019;18:43;Dinero en efectivo;241.2;4.76;12.06;5.8
592-34-6155;C;Naypyitaw;Normal;Masculino;Comida y bebidas;31.77;4;6.35;133.43;14/01/2019;14:43;Billetera electrónica;127.08;4.76;6.35;6.2
797-88-0493;A;Yangon;Normal;Femenino;Salud y belleza;64.27;4;12.85;269.93;26/03/2019;13:54;Dinero en efectivo;257.08;4.76;12.85;7.7
207-73-1363;B;Mandalay;Normal;Masculino;Salud y belleza;69.51;2;6.95;145.97;01/03/2019;12:15;Billetera electrónica;139.02;4.76;6.95;8.1
390-31-6381;C;Naypyitaw;Normal;Masculino;Comida y bebidas;27.22;3;4.08;85.74;07/01/2019;12:37;Dinero en efectivo;81.66;4.76;4.08;7.3
443-82-0585;A;Yangon;Miembro;Femenino;Salud y belleza;77.68;4;15.54;326.26;01/02/2019;19:54;Dinero en efectivo;310.72;4.76;15.54;8.4
339-18-7061;C;Naypyitaw;Miembro;Femenino;Accesorios de moda;92.98;2;9.3;195.26;13/02/2019;15:06;Tarjeta de crédito;185.96;4.76;9.3;8.0
359-90-3665;B;Mandalay;Miembro;Femenino;Accesorios de moda;18.08;4;3.62;75.94;14/01/2019;18:03;Tarjeta de crédito;72.32;4.77;3.62;9.5
375-72-3056;B;Mandalay;Normal;Masculino;Deportes y viajes;63.06;3;9.46;198.64;19/01/2019;15:58;Billetera electrónica;189.18;4.76;9.46;7.0
127-47-6963;A;Yangon;Normal;Masculino;Salud y belleza;51.71;4;10.34;217.18;09/03/2019;13:53;Tarjeta de crédito;206.84;4.76;10.34;9.8
278-86-2735;A;Yangon;Normal;Femenino;Comida y bebidas;52.34;3;7.85;164.87;27/03/2019;14:03;Dinero en efectivo;157.02;4.76;7.85;9.2
695-28-6250;A;Yangon;Normal;Femenino;Deportes y viajes;43.06;5;10.76;226.06;04/02/2019;16:38;Billetera electrónica;215.3;4.76;10.76;7.7
379-17-6588;C;Naypyitaw;Normal;Masculino;Accesorios de moda;59.61;10;29.81;625.91;14/03/2019;11:07;Dinero en efectivo;596.1;4.76;29.81;5.3
227-50-3718;A;Yangon;Normal;Masculino;Salud y belleza;14.62;5;3.66;76.76;04/03/2019;12:23;Dinero en efectivo;73.1;4.77;3.66;4.4
302-15-2162;C;Naypyitaw;Miembro;Masculino;Salud y belleza;46.53;6;13.96;293.14;03/03/2019;10:54;Tarjeta de crédito;279.18;4.76;13.96;4.3
788-07-8452;C;Naypyitaw;Miembro;Femenino;Hogar y estilo de vida;24.24;7;8.48;178.16;27/01/2019;17:38;Billetera electrónica;169.68;4.76;8.48;9.4
560-49-6611;A;Yangon;Miembro;Femenino;Deportes y viajes;45.58;1;2.28;47.86;07/02/2019;14:13;Dinero en efectivo;45.58;4.76;2.28;9.8
880-35-0356;A;Yangon;Miembro;Femenino;Deportes y viajes;75.2;3;11.28;236.88;05/02/2019;11:51;Billetera electrónica;225.6;4.76;11.28;4.8
585-11-6748;B;Mandalay;Miembro;Masculino;Deportes y viajes;96.8;3;14.52;304.92;15/03/2019;13:05;Dinero en efectivo;290.4;4.76;14.52;5.3
470-31-3286;B;Mandalay;Normal;Masculino;Salud y belleza;14.82;3;2.22;46.68;01/03/2019;11:30;Tarjeta de crédito;44.46;4.76;2.22;8.7
152-68-2907;A;Yangon;Normal;Masculino;Comida y bebidas;52.2;3;7.83;164.43;15/02/2019;13:30;Tarjeta de crédito;156.6;4.76;7.83;9.5
123-35-4896;C;Naypyitaw;Normal;Femenino;Deportes y viajes;46.66;9;21.0;440.94;17/02/2019;19:11;Billetera electrónica;419.94;4.76;21.0;5.3
258-69-7810;C;Naypyitaw;Normal;Femenino;Accesorios de moda;36.85;5;9.21;193.46;26/01/2019;18:53;Dinero en efectivo;184.25;4.76;9.21;9.2
334-64-2006;A;Yangon;Miembro;Femenino;Hogar y estilo de vida;70.32;2;7.03;147.67;24/03/2019;14:22;Billetera electrónica;140.64;4.76;7.03;9.6
219-61-4139;C;Naypyitaw;Normal;Masculino;Accesorios electrónicos;83.08;1;4.15;87.23;23/01/2019;17:16;Billetera electrónica;83.08;4.76;4.15;6.4
881-41-7302;C;Naypyitaw;Normal;Femenino;Accesorios de moda;64.99;1;3.25;68.24;26/01/2019;10:06;Tarjeta de crédito;64.99;4.76;3.25;4.5
373-09-4567;C;Naypyitaw;Normal;Masculino;Comida y bebidas;77.56;10;38.78;814.38;14/03/2019;20:35;Billetera electrónica;775.6;4.76;38.78;6.9
642-30-6693;B;Mandalay;Normal;Femenino;Deportes y viajes;54.51;6;16.35;343.41;17/03/2019;13:54;Billetera electrónica;327.06;4.76;16.35;7.8
484-22-8230;C;Naypyitaw;Miembro;Femenino;Accesorios de moda;51.89;7;18.16;381.39;08/01/2019;20:08;Dinero en efectivo;363.23;4.76;18.16;4.5
830-58-2383;B;Mandalay;Normal;Masculino;Hogar y estilo de vida;31.75;4;6.35;133.35;08/02/2019;15:26;Dinero en efectivo;127.0;4.76;6.35;8.6
559-98-9873;A;Yangon;Miembro;Femenino;Accesorios de moda;53.65;7;18.78;394.33;10/02/2019;12:56;Billetera electrónica;375.55;4.76;18.78;5.2
544-32-5024;C;Naypyitaw;Miembro;Femenino;Comida y bebidas;49.79;4;9.96;209.12;28/03/2019;19:16;Tarjeta de crédito;199.16;4.76;9.96;6.4
318-12-0304;A;Yangon;Normal;Masculino;Accesorios de moda;30.61;1;1.53;32.14;23/01/2019;12:20;Billetera electrónica;30.61;4.76;1.53;5.2
349-97-8902;B;Mandalay;Miembro;Masculino;Comida y bebidas;57.89;2;5.79;121.57;17/01/2019;10:37;Billetera electrónica;115.78;4.76;5.79;8.9
421-95-9805;A;Yangon;Normal;Femenino;Accesorios electrónicos;28.96;1;1.45;30.41;07/02/2019;10:18;Tarjeta de crédito;28.96;4.77;1.45;6.2
